Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Bwd IAT Tot,Bwd IAT Mean,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.246-154.185.123.223-56727-22-17,192.168.10.246,55722,154.185.123.223,21,17,7/12/2017 8:40:06 AM,114654115,384,150,297278,79701,1311,1009,1138.0990419176628,763.39713425637,523,381,379.470591092908,48.04204306391551,8240566.7318666335,1251.2649521344588,5124244.071297739,2851079.2320863367,68140315.0135239,459163.71493059123,77232908.06722285,129525.87820533356,70272979.75801072,590209.1982401317,0,0,0,0,12586,4244,7.846500911915848,3.724567737312983,36,1390,1309.0163575776485,759.8051248552363,578315.5399779502,1,1,0,309,107,0,0,0,0.565201345144508,776.6765100051042,529.3740544626909,976.7109079106408,400,281459,145,70217,55601,51371,366,9,3561713.816026724,2543847.9356072927,84969073.38881156,2074545.6232315365,51227150.467785284,47642316.10622067,821013097.7891407,32372012.99492743,BENIGN
192.168.6.68-143.29.199.80-21051-443-6,192.168.6.68,22446,143.29.199.80,872,6,7/7/2017 14:11:36 AM,65242490,477,479,530233,468500,1340,1095,1186.0808012485888,996.0512649355754,1047,644,990.3379594290626,958.5552581950737,6201751.566543326,1519.5054301615546,8778655.234019672,6521376.836509355,80260335.08836912,1021931.309049182,43110572.2720752,42.2522,11639959.048153847,1398.2165,0,0,0,0,15193,15051,6.294848607973137,7.9177491042383386,45,950,759.3667423182401,156.87050566753385,4154.008983373169,1,0,0,311,158,0,0,0,0.9941653526733998,63.623614070972465,1016.184662349313,113.5390771096415,462,519318,483,464368,23670,33186,283,20,8224946.593740931,1053190.073225533,74083417.67258744,7315842.440784174,90033518.96748415,51437066.4777076,891149320.7198769,78312514.97204791,BENIGN
192.168.8.239-64.101.109.10-20266-443-17,192.168.8.239,20110,64.101.109.10,41,17,7/12/2017 13:13:34 AM,339423,349,99,241640,87153,1117,205,308.39928385959706,283.62740206886434,392,36,70.44330706738201,0.4954,5478801.373585436,2024.957391578219,5345501.391588784,5005057.430332698,87882329.23023826,2965964.2822738783,31088276.614377547,86347.46010721475,12101067.75188556,245793.84459848865,0,0,0,0,10901,2872,187.81126813127034,52.562044224943975,51,1292,307.6504225852512,245.23900604126646,63951.96279456409,1,1,0,7,446,0,0,0,4.8886744672940985,366.16234329572467,572.0372013135047,1191.9284511287667,332,233805,92,77105,518,27459,304,30,1382905.5534471641,784189.2047580535,52153922.3879362,103043.30205600205,11480755.5896047,8757939.132319918,148207193.58663943,5638399.510330429,BENIGN
192.168.8.183-78.187.149.223-43861-21-17,192.168.8.183,43153,78.187.149.223,608,17,7/11/2017 16:32:06 AM,7215587,175,458,103837,649839,962,271,369.8034069602544,312.46005271275425,1091,513,637.0692877147864,369.3340733458287,1283947.0005098067,3699.8428109853553,8021798.152445651,171878.91500596993,26780363.75022205,3444750.53796642,77493633.86773103,529302.1634355277,96263278.87629187,140715.02234695127,0,0,0,0,5281,15172,30.964293344238996,57.832051402234946,37,839,282.92078309589675,252.00181535899418,56020.557574769155,0,1,0,66,293,0,0,0,0.38654959696167895,831.9419540561248,577.2238236935316,47.237884515915376,173,105095,456,657828,50049,49993,109,10,2244127.284301812,870692.3020422203,67241513.80396537,1161720.3320958763,66062947.933276564,654339.6190521836,797379741.1300658,60059278.7895552,BENIGN
192.168.2.181-108.130.254.1-65106-22-6,192.168.2.181,64790,108.130.254.1,607,6,7/11/2017 10:36:11 AM,107571618,329,282,79430,361247,519,131,410.5154644791399,93.99234726525577,531,43,408.47600520269674,274.50647335808065,1178845.408346576,1250.3953138150662,9605110.4125821,5594600.81261999,69276743.78047776,7025810.330337913,83483815.59806514,412415.36052667693,923293.9970458986,79415.87570283991,0,0,0,0,10251,9525,11.708469024520774,5.026693238546679,8,1373,1072.5709151864528,946.6171373963409,914705.0224140186,0,1,0,232,135,0,0,0,1.6323675733255223,437.33212330357543,980.9386758994801,1018.9467099953895,334,66483,297,368811,57613,27035,324,17,1725760.5388664706,815583.3360334304,87111709.58630821,1676370.113785421,66404177.87352104,32006588.428974494,962648777.6935834,29952820.130592316,BENIGN
192.168.9.98-16.40.165.202-32517-6481-6,192.168.9.98,33265,16.40.165.202,6930,6,7/12/2017 9:13:56 AM,20165514,397,359,102514,318731,58,2,27.208684854137942,5.859513404563134,20,0,19.99224168273112,7.437421518860929,7981090.474085108,392.8123843516009,985001.3111527589,191882.5437604587,56225960.56817626,806860.8262857082,29734862.751377728,42.2522,12960125.62828108,74030.57837135243,0,0,0,0,13141,11689,28.711974609165154,24.448590191226806,54,1126,419.51421328851006,164.404627429674,32759.45571197883,1,0,0,228,486,0,0,0,4.4204708568570386,212.8272689612673,118.68902238608295,819.9766419246226,388,96200,369,315794,11380,5904,333,39,3104582.809618049,2951670.687183404,67639862.5086497,1085837.24678135,78397424.24699982,79200105.42128682,228803761.12190607,49370375.09460389,BENIGN
192.168.1.28-153.222.176.187-52563-22-6,192.168.1.28,53360,153.222.176.187,21,6,7/12/2017 17:12:16 AM,6751265,364,215,144,276870,1155,411,682.0433213978844,39.20012658385734,1383,697,1089.8413438130224,727.3778531885145,1130477.6374282353,4471.772436316042,5195489.655096294,3485763.6613262948,36840809.92386588,3583741.7462678114,54912913.64310757,106360.09429248735,19795490.470700234,132781.5547498281,0,0,0,0,11795,6957,60.08343094232934,35.72048508928781,54,60,52.16727655406358,23.43898049399853,0.4996,1,0,1,209,559,0,0,0,3.9388770555007078,618.6931916758542,470.9446027042902,645.7118911571418,354,8678,227,269408,27443,61761,89,13,2964308.1733475896,1820846.4824724048,61612386.02975996,315955.35913690523,95422124.22068354,23048279.976233453,387574979.4937088,75091597.3140952,BENIGN
192.168.2.221-187.195.129.45-18574-443-6,192.168.2.221,17452,187.195.129.45,21,6,7/14/2017 15:10:33 AM,31147196,114,301,26992,70168,264,150,218.33394346704154,122.23036747230773,798,163,791.7484719885371,421.0982853129949,9923277.335065233,2695.666135049831,5284725.022265528,142142.52562608878,59786547.1798994,4638359.459077436,18757785.415168952,328200.9304469659,11230240.612894064,274020.0966159082,0,0,0,0,3942,9405,3.364686136560284,9.670339116258795,57,85,74.6932304379992,23.066620245074407,0.4996,0,0,0,27,75,0,0,0,2.057519861714083,451.5799837470342,180.15769350958843,1315.2583688648622,127,19433,290,79734,63395,50744,13,8,5526005.444912585,4547106.242600452,23418249.42113223,2106762.9511703616,10040167.62113533,33435.2329,730505041.1465063,8208830.868184521,BENIGN
192.168.6.85-88.21.162.113-45334-80-17,192.168.6.85,45254,88.21.162.113,1266,17,7/10/2017 9:33:30 AM,85588204,329,345,394897,119050,1083,546,935.3869230823885,261.48859231057014,136,55,54.06217068436001,13.953502855593605,2101508.8580222903,4850.042246971287,2960433.8208650984,1046021.7709490972,50880022.787834205,71501.61694622488,91360956.76164012,238485.65617264272,10635995.168279728,1398.2165,0,0,0,0,9791,10926,0.0152,4.695807086465891,25,1119,1158.7007535392868,124.7334560835494,18266.052413997186,0,0,1,29,194,0,0,0,3.091378828719286,426.12148087386635,1386.0979690385375,805.1309785935841,305,380135,342,120148,10667,4258,300,36,8534592.480060933,3997381.905894255,48488353.97322262,453028.44131758163,89217135.0995237,20806207.76909731,961086543.3028164,71202792.61963952,BENIGN
192.168.3.45-143.79.145.4-36154-22-17,192.168.3.45,36154,143.79.145.4,22,17,7/10/2017 16:12:22 AM,81336364,303,305,156100,17055,22,8,9.2918,6.7485,1155,548,822.5893,660.1557,2281730.2773,4449.5343,1017798.4614,117516.2469,25394610.1919,678885.6592,82604267.3387,272621.3444,94569272.3798,310063.1881,0,0,0,0,9696,9760,3.7253,3.7499,10,1377,735.3474,96.5158,9315.2996,1,0,1,226,149,0,0,0,4.1282,799.8838,648.8201,189.4307,303,156100,305,17055,47104,64142,284,10,5987949.5769,2780571.8209,28575669.1453,764216.5882,54044940.3354,46018580.8265,76492110.0301,16218991.2595,BENIGN
192.168.6.224-16.5.80.221-28397-49778-6,192.168.6.224,29527,16.5.80.221,49235,6,7/7/2017 13:07:21 AM,27299081,434,364,195368,368746,1318,1211,1245.367276841796,785.5313095577757,1304,714,735.9014330166555,198.54390995052938,9549630.263450395,2496.1971848180574,7656804.581278182,5480082.757151461,87589182.24740003,3654465.4998784726,53008312.84373851,42.2522,92542364.63246997,241673.06388299985,0,0,0,0,13938,11827,8.492309073491128,16.270859317442635,51,205,67.174698251851,55.970834299946006,9164.178414071172,1,0,0,338,755,0,0,0,1.4865918591406688,693.3294203011075,341.028328035293,466.3901622915763,450,198817,362,367662,1182,25680,350,14,45026.857178150254,738.8313,94414953.77539138,6313.1461,41995608.19123757,22286374.643571954,719292009.7074388,32929630.952813886,PortScan
192.168.3.200-198.55.79.28-11796-22-17,192.168.3.200,10138,198.55.79.28,304,17,7/12/2017 9:34:22 AM,103605836,113,226,92636,235192,575,129,201.3893007917697,133.3763520337399,643,624,632.5294087268419,530.2433542720254,2955826.919221891,398.1318561274824,2436526.1020715474,794927.14705746,52757108.13512059,1583566.0783280486,24331937.58531895,339965.6232077145,97501059.88377905,461904.5536970319,0,0,0,0,3451,7681,5.882930843573991,2.537329937364861,16,265,107.64224908560371,99.94095860866722,20314.49033513489,0,1,1,80,278,0,0,0,0.6782277975901746,77.1179926982436,1224.2937320517597,1457.445,114,90929,224,231504,17541,26384,102,33,3384375.6695178966,2422779.5401678947,65241107.625095665,2138624.4807705767,25480184.45010182,21145475.42394602,30256303.280460976,771076.9349789723,BENIGN
192.168.8.120-26.240.163.235-14336-8080-17,192.168.8.120,15841,26.240.163.235,8550,17,7/7/2017 17:55:14 AM,97667821,74,15,35054,417,1233,1178,1207.3632891227471,345.6900600184655,449,186,236.89808428113858,146.75405845164423,2436309.132138747,2903.0157006574577,9637891.556602595,3354442.467231322,80462317.81532347,4780342.62315547,69591284.96359763,974872.9905742746,73150340.34539098,8102745.646604862,0,0,0,0,2794,88,6.882606555494635,0.0422,46,1206,582.4193163782629,567.8819156070658,307723.0419313552,1,0,1,12,0,0,0,0,2.7769069604402152,670.5838042450678,123.79605383736677,116.06296876279919,73,13661,5,11742,9376,6911,10,34,1333039.5250571938,824124.3366196257,7406210.994014977,76750.11299659984,22725185.29639067,11209604.009940922,80979152.19026116,14386005.757740645,BENIGN
192.168.7.53-101.32.197.49-32139-8080-17,192.168.7.53,32014,101.32.197.49,7098,17,7/11/2017 9:10:06 AM,90847888,275,85,34440,127605,62,37,29.296438126407388,31.261334612141532,843,276,407.45326670014515,125.56652968181747,5400271.244240414,2368.2809298410452,3564523.2177490043,6865.605365826472,35318054.2984095,3409799.254201342,39308937.4860915,194391.21715719896,99788508.2232,1107725.7833451258,0,0,0,0,8916,3043,10.108930321627422,0.0422,57,446,101.96040215384303,12.047734503787503,0.4996,0,1,1,35,207,0,0,0,2.14739323022335,728.9730709868736,692.6027336281611,889.0465879682869,274,19698,82,142346,41066,26661,246,37,3025183.75085884,25093.905716991365,17377452.124270976,6313.1461,40055037.0946246,33396295.915509705,549138030.0377411,36258767.73347175,BENIGN
192.168.4.207-16.179.143.153-36332-8080-17,192.168.4.207,37175,16.179.143.153,8672,17,7/11/2017 17:17:54 AM,66883176,458,345,99747,71001,867,64,827.9062171586888,741.769110451797,279,71,124.03173848844575,77.78954884546556,8379697.028070166,3764.0821968362407,6677851.397787489,3319245.928180427,60633482.67983255,1687723.7564267197,42513396.10786378,247570.64309812908,44044665.046195015,193024.54110189975,0,0,0,0,14995,10818,7.311025924381112,5.013352338935363,29,1048,385.1828889656677,0.7068,8565.00616331034,0,1,1,359,374,0,0,0,3.84244748901817,751.5710503460966,1078.5399716123254,695.1142446693412,451,103064,342,82893,46573,7209,419,33,2307940.756135006,913809.8959378058,23642349.20052788,735911.9273190075,82789327.79643863,30333175.913169302,620067374.3261895,48606627.07824837,BENIGN
192.168.6.21-147.12.115.251-46214-80-6,192.168.6.21,47149,147.12.115.251,21,7,7/10/2017 10:21:19 AM,7829014,321,326,56808,23153,977,428,896.2918554962348,515.4768620951628,1292,713,1203.0618678195874,281.8523080795683,4823829.499619438,4776.166437583916,8387740.833433275,6670069.90791893,57283386.88395591,2154414.0582117513,6796892.822955703,73691.39866599944,59860604.40204037,322791.6312069023,0,0,0,0,9948,10196,41.777204430925224,41.36298978008088,7,178,173.42355657834756,85.64640176846292,0.4996,1,0,1,309,132,0,0,0,4.365530157189747,694.7194972958449,1147.2495797363306,109.42606597864336,326,38062,305,8673,58251,5883,156,36,350981.404947584,557580.5165176846,56394497.16729723,130950.9758506183,36897730.86317455,2918393.487325347,754846864.3647964,8478308.491277406,BENIGN
192.168.9.98-16.40.165.202-32517-6481-6,192.168.9.98,32369,16.40.165.202,6154,6,7/12/2017 9:13:56 AM,18017088,404,362,102572,326439,44,32,12.297012622150495,20.61655100072501,36,2,9.8467,13.7945148081099,7968744.051658627,373.38805207935,728748.0911888336,97696.20116935555,54029187.785072125,736541.7814291152,32638799.031797722,47229.46921915349,12009960.540223962,1398.2165,0,0,0,0,12854,11036,21.59897287195216,18.00401898366837,55,1062,470.2118893865176,159.3409405134157,23536.76823134281,1,0,0,215,495,0,0,0,4.31070079032395,241.50110089316752,118.58471764260453,808.0335849090598,400,102301,372,319654,10232,5831,322,38,2962646.124680547,2930385.262946663,65389418.85575892,1319511.0060155857,78219357.07622747,77297751.19141573,255347336.75168005,51579439.385946386,BENIGN
192.168.10.45-97.193.187.151-43841-58867-6,192.168.10.45,43319,97.193.187.151,57892,6,7/14/2017 12:24:58 AM,29028518,269,207,187666,180428,1030,804,912.4349382697786,558.4540374819912,1035,307,603.7738748753286,145.0849747513679,5085095.697613735,1353.7206748264773,1605090.4800500846,125073.2307968735,60985936.45938219,1134725.2718477794,63740445.58247868,327623.47877576307,40255225.2111281,141829.67832412708,0,0,0,0,8421,6596,11.802334824986755,15.036316125100683,13,1248,196.23165198776363,188.70329801065935,38371.72141306277,1,0,1,242,244,0,0,0,0.11616164566129271,88.27942592123615,818.4635596779789,233.52211040626375,272,191927,214,169168,5667,19350,27,19,2717291.426543755,362084.39601563703,95233873.30672671,1531441.4777441858,56306289.5673898,1452352.9337495673,767272028.5207367,38077567.45236776,PortScan
192.168.9.103-124.72.92.137-60701-443-6,192.168.9.103,60733,124.72.92.137,420,6,7/11/2017 15:48:15 AM,30020556,34,127,30186,79935,786,756,770.028347818103,73.6478291434327,1438,975,1126.6137144891043,928.2863440855034,1497964.504037848,288.1232225864775,2628022.9513890864,2123442.2971537146,48606257.92297118,1453196.6041320905,58636966.643265605,1750902.4984998603,29573027.632267233,232251.8908274771,0,0,0,0,1143,4252,0.017357142498745537,8.335232338365385,36,717,254.7269043215924,119.39760619922711,10933.365450231504,0,0,0,14,8,0,0,0,3.33753080318478,441.2928043153305,731.5187208052625,68.99103412859097,37,29584,133,59300,48847,6812,1,15,7303671.515359532,3802246.8079808806,97369822.86025523,542170.9947252147,21077432.402009938,2482261.8758584564,110714708.16219462,556484.0404347153,BENIGN
192.168.6.81-194.205.119.112-17038-3306-6,192.168.6.81,16219,194.205.119.112,3052,6,7/12/2017 10:52:39 AM,96312830,151,347,207610,94963,134,68,72.8207534359772,8.665906601596038,561,548,529.9910280631581,357.540561255098,3401342.5475991773,1115.369501166886,7114140.426001223,1830114.503481974,58580816.34332325,6145630.101429974,5326398.957001101,30077.41475821475,58764057.045546845,184143.072017311,0,0,0,0,4614,11101,0.0152,4.072334078884643,54,390,71.25052725600553,78.93130860826847,14250.003714776381,0,0,0,9,91,0,0,0,3.8921003159644925,400.3560587596447,445.4786515952996,996.7127380896017,157,205631,346,94229,14184,46816,134,17,8588709.740810791,4810443.479176032,57740014.82220371,8395620.96891083,31657452.325249877,33435.2329,772858072.2239784,3428141.3244669596,BENIGN
192.168.5.92-110.149.134.106-65008-21-17,192.168.5.92,64663,110.149.134.106,21,17,7/7/2017 11:52:49 AM,57638944,377,433,451358,298475,74,9,13.06944923122903,51.41441261036766,1290,658,925.4578178476435,699.6489972144461,5202346.655740452,1043.8212248423274,1192761.5437928028,703499.1919698514,48437579.798902884,511576.1248046374,90870308.11634143,595161.0146813702,61936279.03773979,268170.4902829757,0,0,0,0,12067,14241,0.18728519511425912,8.280143824752141,25,1201,933.7209531038593,194.69685687657065,24336.9758980162,0,1,0,53,526,0,0,0,0.17953447947037096,563.1288129715492,153.76852360312841,817.3236350651956,374,452653,445,311464,38853,20957,115,23,1822920.7771641153,132075.3917225953,84964680.89845578,1398847.5249132414,7190471.8921989305,4756331.04881562,754890466.673751,4071750.751078469,DoS Hulk
192.168.8.213-180.85.169.206-30233-8080-6,192.168.8.213,29348,180.85.169.206,9356,6,7/10/2017 13:03:55 AM,90264942,438,114,555185,79153,1030,866,1015.524995254046,757.0638664304452,646,509,649.0918023413482,30.935510847062893,4066434.6401540847,3696.8671209984473,5396294.194678277,1572963.8750488497,30796097.891768154,3817492.773999488,84961276.13197881,270811.174307182,87109664.30683134,722870.2993897315,0,0,0,0,14541,4022,5.119050612497322,0.3830392863585673,15,120,57.33887247320007,3.808280416083082,0.4996,1,0,1,264,365,0,0,0,3.791437282420706,836.8634523203093,249.81269600473456,798.3111429928299,455,564007,134,90120,49898,43188,30,22,15337.8963,128066.56742667947,90897382.2203565,167283.4972716767,15626497.701501532,12685736.622042058,733945510.908024,6805498.387670991,BENIGN
192.168.3.102-129.220.170.14-29947-8080-6,192.168.3.102,29330,129.220.170.14,6818,6,7/7/2017 14:46:59 AM,56736122,107,150,57636,109976,360,291,331.09655905462813,197.63412109313654,1102,889,906.5719131337718,43.730743476821985,2748469.1642329176,546.0130481030903,1090070.0751712527,1099306.599142751,59779428.74879496,218459.40967614006,53058179.77641045,630880.3656306714,27125728.638710808,139910.67171523836,0,0,0,0,3216,4498,7.279215096646991,10.072744480078828,46,625,308.6478358869144,62.39398025995902,7729.723830727797,1,1,1,18,63,0,0,0,1.0610118885311395,630.8595531334271,997.1604329140148,419.583237250518,101,59299,154,116250,1441,13993,19,40,8895030.421082746,5626701.084379437,76783703.69033706,7555164.458101408,69743741.23609123,13039432.608646864,708798420.3759439,13076522.834246874,BENIGN
192.168.6.225-73.79.44.183-18762-3306-6,192.168.6.225,17843,73.79.44.183,4030,6,7/12/2017 17:58:05 AM,40425181,97,13,123608,19243,533,398,448.16260568526866,439.1765469927833,245,83,196.66398783745052,116.99356168082598,1695231.8229912887,1976.3093615281457,8878687.354312334,7013500.143219738,20581848.261160377,6679833.383126263,25718405.069620203,328426.1495080249,38921991.43083235,2423774.7848111875,0,0,0,0,3486,298,11.105145140192908,4.763786147721334,35,1312,620.483706577862,95.93397309089146,21927.288505557248,0,1,1,16,77,0,0,0,3.7578743765768166,832.4964785780346,167.42651645826817,796.0354526828136,126,131800,21,8951,41729,47933,57,29,4516360.128915033,1720676.2448033802,39376818.10894396,118861.65482273127,56308633.73503232,51724807.23626555,480958351.72990495,44023230.0896931,PortScan
